"Region","total_households","island cabbage_households","island cabbage_production","banana_households","banana_production","taro_households","taro_production","kumala_households","kumala_production","manioc_households","manioc_production","yam_households","yam_production"
"North Tongoa",327.891570980372,204.814792188315,28381.1894072138,242.395488002685,44355.2686775455,415.266688748785,110900.176638361,185.084926885771,41332.0234885713,248.972109770199,82253.8780401881,200.117205211519,88197.3259778761
"Tongariki",237.737908455605,128.096224647312,16004.7969871287,155.235255292929,24306.5950610916,242.080153358904,87433.979210905,106.385000130819,25114.6832489634,160.663061422053,48979.445919564,140.037398131384,109597.687178115
"Makimae",232.625876024746,142.4608077981,12457.37702569,163.198773490229,27745.309462209,243.445684211944,76313.2404849716,124.427794152771,106950.018519355,150.575663938498,41295.7990783331,131.640999610903,93505.1247527539
"Nguna",468.181911066327,318.739917132208,34505.7696674393,349.046335482484,69634.6164606955,351.136433299744,48010.004896127,87.784108324936,11137.1990249587,315.604770406318,49568.1638795759,292.613694416453,102002.630864377
"Emau",197.239389926415,141.354896113931,10410.5415495536,170.940804602893,40549.1312457055,199.430938703375,43547.169972587,43.8309755392034,4889.89320859238,156.695737552652,30347.4716889559,146.833768056331,43150.2257003601
"Malorua",1023.64421567205,500.961161250643,74089.0584725256,544.404947592162,180332.237076718,495.530687957953,79254.7314007895,149.338015548972,50717.5398723531,481.954504726229,89821.1369532986,416.78882521395,238084.515506826
"North Efate",872.350722672883,626.653079587201,90885.7541259715,702.347808012586,169343.868074544,805.342274558601,202059.903555464,210.952521841236,77496.7706206904,573.294500533241,238910.913401353,544.753865225309,238104.699847581
"Mele",887.60272195239,658.37790390406,49945.5719601709,709.692652296582,114440.423665403,722.279288694748,85088.2808381542,306.920287555275,73491.7552599243,627.395414308575,87466.8722884589,457.959924333265,243826.835827406
"Tanvasoko",1904.00050406432,897.960576728674,69720.5920938823,1127.20686803335,126601.913620645,1079.64539680831,132305.351992973,517.468806928388,73160.8186275616,1031.13269615877,142323.644904432,507.956512683381,74174.5086455518
"Ifira",245.525974562536,107.899307206854,3565.87481500957,135.424640677991,6927.02821579625,38.5354668595909,1499.67741437094,13.2121600661454,642.080799153603,81.4749870745636,4449.27873577743,26.4243201322909,4168.87243508426
"Pango",486.365911492837,338.048386007892,26245.5973833369,323.601873785332,29411.3719457387,301.450555044074,27487.1275140422,98.2362831134044,6911.5214107531,310.11846237761,32188.7923339063,217.660784153229,41065.5560127288
"Erakor",3298.47690356345,2217.7472696314,210849.314600587,2331.73047321017,385689.00507903,2883.35289052965,542782.210114464,1017.40563194384,159249.758593362,1986.96646238549,312157.799893812,1204.5632378201,145545.848887471
"Eratap",1825.63717105486,1282.71892737515,205506.006231897,1249.30857391793,186515.153918679,1681.25671504333,488294.511692833,754.119406605668,322618.871963719,1176.52173245758,237503.438204876,684.91224587287,110261.1149972
"Eton",896.651622087837,627.191549128798,194817.465454144,663.196989912118,239740.624632888,902.458951246437,529854.719731558,224.162905521959,113898.796580791,462.263401024559,132022.799173748,311.272842900959,90801.2118691521
"Tafea",10905.5906037098,9524.47407605282,690502.895461284,10208.1024270688,1628730.95970818,17010.84086573,4962738.75690054,6250.93671481802,1160700.83947854,8580.08155998434,1398244.3045768,6863.3730093257,3660476.99536732
"North Erromango",374.158737182642,360.34750862892,33687.0273943773,352.814111235981,82217.6789968309,621.505284917475,181004.812760862,249.857680199147,42942.0715301019,328.958352825007,77921.6200942944,347.791846307355,160924.440890555
"South Erromango",151.382492979637,147.433384467125,8106.65421815759,146.117014962954,16182.4729314915,288.284921413396,34531.4484318979,109.258668846173,7785.96496799082,138.21879793793,11170.6755474752,146.117014962954,33931.3895080282
"Aniwa",140.043923990882,66.5782589464847,3695.8420026275,133.156517892969,17700.1844929758,84.944675207584,5752.1070384031,18.3664162610992,543.506176856985,126.269111795057,9915.96824887967,114.79010163187,18298.0412875185
"North Tanna",1021.95989506718,916.758141163193,101532.238488363,999.9946937026,200602.700614556,1747.96760332755,865746.37970929,537.569401817005,66223.1122810409,831.209462164358,148930.216737492,886.700497190629,1158327.79040272
"West Tanna",3601.9013798503,3161.55431526494,206400.402428987,3388.60827044175,492966.211170453,4274.46271677551,610599.794785864,2040.0453851492,284069.666099122,3120.27177796007,431816.852015546,3201.11674684878,1767142.95987771
"Middle Bush Tanna",1581.98340313245,1419.27189695441,104994.519359619,1516.66126561572,377633.847415261,2992.94157349382,1342476.62712286,1019.02534526099,338139.193132812,1010.71161866795,154539.624460569,543.955254230225,196315.174556684
"South West Tanna",1424.05385466799,1317.40131065881,84514.5655604209,1334.36876084209,149042.462569179,2532.99792021796,987614.784248358,643.551146237195,98899.5167009842,982.900149902759,131849.506459997,826.557216071124,172276.393059441
"Whitesands",1782.97527561199,1348.67583388952,92398.4203541319,1538.82856242746,183494.420072675,3011.92531745909,624238.799999987,1240.68786459636,247044.035958558,1326.37397066593,223430.725487754,277.012616882442,76691.0316362042
"South Tanna",403.851005201499,392.528079822018,26961.6788453511,391.269977002076,48577.7268279587,764.926514524958,169576.728800899,95.6158143156198,10057.7397287778,349.752583943978,45511.8503037386,251.620563988473,28568.6050778801
"Futuna",87.3229637301334,74.0166073522083,4601.31331083781,83.1647273620318,18801.1398225479,83.1647273620318,9706.16656889938,9.14812000982349,1308.04629968471,39.0874218601549,7431.55508316447,14.1380036515454,902.899215711571
"Aneityum",335.957672295088,319.908738905193,23610.2334984113,323.118525583172,41512.1147942493,607.719611030601,131491.107433222,287.810872125408,63687.9866026154,326.32831226115,155725.710137889,253.573147560304,47098.2698548715
